10003	71
10008	143
10010	256
10012	59
10021	65
10022	40
10024	11
10026	150
10027	97
10029	112
10032	32
10034	240
10040	27
10041	79
10043	37
10047	231
10050	63
10051	39
10054	110
10059	266
10061	138
10062	218
10068	30
10069	49
10071	113
1007	260
10073	18
10081	53
10083	125
10089	24
10091	6
10101	136
10109	100
10112	13
1011	28
10114	207
10116	136
10117	66
10118	37
10120	301
10121	166
10122	23
10123	24
101	29
10131	116
10132	58
10133	249
10135	94
10137	198
10139	169
10143	48
10147	250
10149	233
10154	15
1016	23
10162	31
10163	299
10172	202
10174	25
10175	146
10177	140
10181	152
10187	24
10194	16
10197	181
10198	191
10200	6
10203	76
10205	19
10206	22
10213	228
10215	35
10218	48
10221	47
10222	21
10227	230
10228	39
10233	87
10234	73
1023	59
10236	144
10237	176
10239	62
10241	36
1024	272
10244	76
10245	31
10246	145
1025	275
10255	35
10256	22
10258	119
10259	78
10263	31
10265	69
10275	176
1028	81
10296	12
10297	14
10298	116
10301	205
10302	41
10311	64
10316	142
10322	82
1032	67
10332	204
10333	285
10336	188
10338	14
10340	108
10344	57
10351	34
10355	68
10357	27
10358	52
10359	88
10368	109
10371	183
10374	175
10378	72
10384	82
10391	184
10393	28
10394	63
1039	77
10398	195
10402	82
10404	110
10408	12
10414	142
10417	82
10418	43
10422	31
10423	111
1042	60
10432	195
10440	83
1044	166
10448	208
10453	23
10454	190
10461	44
10464	110
10465	208
10469	151
10471	188
10472	264
10474	90
10476	28
10480	18
10484	76
10486	53
10492	145
10493	137
10495	46
10498	25
1050	229
10503	145
10506	111
10507	59
10509	189
10514	96
10521	12
10524	95
1052	52
10532	35
10536	15
10540	20
10543	200
10550	44
10552	17
10553	21
10559	157
10564	9
10568	12
10578	25
10582	250
10585	10
10587	20
10588	176
10598	15
10600	268
10605	47
1061	132
10612	280
10615	60
10619	147
10620	35
10621	248
1062	23
10650	82
10653	38
10656	84
10663	21
10664	175
1067	10
10676	127
10687	18
10693	118
10702	141
10706	80
1070	69
10707	145
10716	210
10718	26
1072	166
10735	146
10738	26
10739	340
10741	59
10743	23
10745	82
10748	24
10755	124
